title;label;year;icon;tags;shortDescription;longDescription;wikiLink
Eleonora Akwitańska;Eleonora;1137;crown;france,england,civilization,crown,person,king;1137: Jedna z najpotężniejszych kobiet średniowiecza, królowa Francji i Anglii.; królowa Francji i Anglii. Brała udział w drugiej krucjacie. Była jedną z najmożniejszych i najbardziej wpływowych kobiet Europy w średniowieczu, jedyna kobietą, która była zarówno królową Francji, jak i królową Anglii. ;https://en.wikipedia.org/wiki/Eleanor_of_Aquitaine
Fryderyk Barbarossa;Barbarossa;1155;crown;germany,italy,civilization,crown,person,king;1155: Koronowany na króla Niemiec, rozpoczynając okres potęgi Świętego Cesarstwa Rzymskiego.; The Holy Roman Emperor;https://en.wikipedia.org/wiki/Frederick_Barbarossa
Saladin;Saladin;1174;crown;arab,civilization,person,leader;1174-1193 - lata panowania Sułtana, początek dynasti Ajjubidów;sułtan, założyciel dynastii Ajjubidów, panujący w latach 1174-1193.;https://en.wikipedia.org/wiki/Saladin
Genghis Khan;Genghis Khan;1206;crown;asia,mongolia,civilization,crown,person,leader;1206: Zjednocza mongolskie plemiona, tworząc największe imperium lądowe w historii.;chan Mongołów i założyciel imperium mongolskiego. ;https://en.wikipedia.org/wiki/Genghis_Khan
"Jeanne d’Arc";"Joanna d'Ark";1429;person;france,england,civilization,church,person,leader;1429: Prowadzi Francuzów do zwycięstwa w bitwie pod Orleanem, stając się symbolem oporu.;francuska bohaterka narodowa, święta Kościoła katolickiego, patronka Francji. Podczas wojny stuletniej walnie przyczyniła się do kilku ważnych zwycięstw armii francuskiej, twierdząc, że działa kierowana przez Boga.;https://en.wikipedia.org/wiki/Joan_of_Arc
Jan Gutenberg;Gutenberg;1445;scholar;germany,civilization, science,person;1440 albo 1450 - wykorzystanie ruchomej czcionki;niemiecki rzemieślnik, złotnik i drukarz, twórca pierwszej przemysłowej metody druku na świecie.;https://en.wikipedia.org/wiki/Johannes_Gutenberg
Izabela I Kastylijska;Izabela Kastylijska;1479;crown;spain,civilization,crown,church,person,king;1479: Zjednoczenie Kastylii i Aragonii, tworząc potężne imperium hiszpańskie.;Do najważniejszych wydarzeń związanych z życiem i panowaniem Izabeli Kastylijskiej należą: małżeństwo z Ferdynandem Aragońskim (1469) i unia personalna Kastylii z Aragonią (1479), ustanowienie w Kastylii inkwizycji (1478-1480), zdobycie Grenady i tym samym zakończenie wielowiekowej rekonkwisty (1492), oraz wsparcie wypraw Krzysztofa Kolumba przez Atlantyk (1492-1504), które doprowadziły do odkrycia Nowego Świata i uczyniły wkrótce Hiszpanią jednym z największych imperiów kolonialnych w historii.;https://en.wikipedia.org/wiki/Isabella_I_of_Castile
Leonardo da Vinci;da Vinci;1480;scholar;italy,civilization,science,person;1480: Przenosi się do Mediolanu, gdzie pracuje dla Ludovica Sforzy.;Leonardo da Vinci, właściwie Leonardo di ser Piero da Vinci (ur. 15 kwietnia 1452 w Anchiano, zm. 2 maja 1519 w Clos Lucé) – włoski renesansowy artysta i uczony: malarz, rzeźbiarz, architekt, inżynier, a także odkrywca, matematyk, anatom, wynalazca, geolog, filozof, muzyk, pisarz. ;https://en.wikipedia.org/wiki/Leonardo_da_Vinci
Krzysztof Kolumb;Kolumb;1492;map;italy,spain,civilization,exploration,person;1492: Dociera do Ameryki, rozpoczynając erę kolonizacji.;włoski żeglarz, podróżnik i nawigator, tercjarz franciszkański;https://en.wikipedia.org/wiki/Christopher_Columbus
Michał Anioł;Michał Anioł;1508;person;italy,cywilization,church,art,person;1508: Rozpoczyna malowanie fresków na sklepieniu Kaplicy Sykstyńskiej.;włoski rzeźbiarz, malarz, poeta i architekt epoki odrodzenia;https://en.wikipedia.org/wiki/Michelangelo
